INSERT ALL
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ACI208', 'Embedded Systems', 2, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ADT211', 'Data Structures and Algorithms', 1, 'mirandarocio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AGG206', 'Colonial History', 3, 'solisguillermo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AHF173', 'Educational Psychology', 6, 'benavidesliliana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AIO187', 'Classical Mechanics', 4, 'juradotamara@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AJA124', 'Automotive Engineering', 5, 'estradapaula@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AJP191', 'Game Theory', 3, 'guzmanricardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AJU169', 'Renewable Energy', 3, 'ferreroefrain@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AJU179', 'Digital Signal Processing', 6, 'merinojulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ALG159', 'Economic History', 1, 'casasrosaura@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AQT216', 'Renewable Energy', 4, 'arevalopaulina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ARU134', 'Relativity', 2, 'ferrercristobal@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ASB120', 'Microeconomics', 6, 'salinasveronica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ATG121', 'Manufacturing Processes', 3, 'santorobruno@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AUK159', 'Corporate Finance', 1, 'santamariaramon@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AUU180', 'Climate Change', 1, 'escalanteceleste@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AVL114', 'Philosophy of Mind', 3, 'figueroadaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('AWC231', 'History of Science and Technology', 4, 'roldanpilar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BAC180', 'Comparative Politics', 6, 'chavesfederico@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BDC134', 'Circuit Analysis', 1, 'salazarjoaquin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BHK244', 'Game Theory', 2, 'arrietaroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BKD141', 'Quantum Mechanics', 5, 'jimenezantonio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BMB108', 'Development Economics', 2, 'riosisabel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BMQ193', 'Topology', 6, 'cifuentesalejandro@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BOV199', 'Cybersecurity', 2, 'palaciosgustavo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BQB133', 'Existentialism', 5, 'dealonso@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BRD159', 'Evolutionary Biology', 4, 'ortegaalberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BUW116', 'Evolutionary Biology', 1, 'roldanignacio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('BVK176', 'Semantics', 1, 'carmonafabian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CAM168', 'Soil Science', 2, 'dealonso@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CBZ120', 'Software Engineering', 2, 'ceballosrodrigo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CFE183', 'Financial Accounting', 4, 'arrietaroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CJB212', 'Zoology', 3, 'gallegoselena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CLG162', 'Thermodynamics', 4, 'renteriasandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CMS172', 'Language Acquisition', 5, 'solisguillermo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('COA229', 'Psychopathology', 4, 'naranjoezequiel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CTH142', 'Vibrations and Control', 2, 'montesguadalupe@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CWF138', 'Economic History', 4, 'sanchezsofia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CXA137', 'Developmental Psychology', 1, 'poncevaleria@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CYR216', 'Existentialism', 2, 'poncevaleria@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('CZO175', 'Quantum Chemistry', 3, 'martinpablo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DDZ169', 'Financial Accounting', 6, 'serranoemilio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DEG132', 'Circuit Analysis', 6, 'riveraflorencia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DER148', 'Colonial History', 5, 'rubiolaura@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DEW220', 'Government Systems', 4, 'gallegoselena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DFV139', 'Automotive Engineering', 3, 'tellezsandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DGS240', 'Neuroscience', 6, 'renteriasandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DIA228', 'Colonial History', 4, 'rodriguezmanuel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DLO108', 'Political Philosophy', 2, 'aguilarjuan@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DQJ115', 'Supply Chain Management', 6, 'valencianancy@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DQR205', 'Entrepreneurship', 5, 'ochoamauricio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DRV193', 'Labor Economics', 6, 'canoandres@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DSS162', 'Medieval History', 5, 'jimenezantonio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DVP138', 'Topology', 1, 'bautistadamian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DXE172', 'Supply Chain Management', 3, 'zamoraarturo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('DXN218', 'Zoology', 3, 'zamoraarturo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EAG116', 'Modern History', 3, 'ibarraberenice@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ECL223', 'Astrophysics', 1, 'roblesantonella@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ECP188', 'Particle Physics', 6, 'mezasilvana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EDF135', 'Power Systems', 5, 'melendezconsuelo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EFW128', 'Thermodynamics', 3, 'mercadocamila@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EHK161', 'Climate Change', 6, 'fuentescarla@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EJQ250', 'Cognitive Psychology', 5, 'godinezdelfina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EKH217', 'Political Theory', 6, 'godoyalvaro@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ELV109', 'Water Resource Management', 3, 'becerramarina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ELY190', 'Investment Analysis', 4, 'portillorafael@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ESJ123', 'Organizational Behavior', 2, 'molinapatricia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('EXI191', 'Microeconomics', 3, 'molinapatricia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FDS178', 'Modern History', 6, 'paredeshugo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FEZ142', 'Human-Computer Interaction', 5, 'arevaloesteban@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FHP247', 'Optics', 4, 'chavezyolanda@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FHS179', 'Sociolinguistics', 1, 'pizarrofabiola@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FJF153', 'Statistical Mechanics', 2, 'herreradiana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FKY204', 'Phonetics', 1, 'dealonso@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FMC183', 'Philosophy of Science', 6, 'delgadillojavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FMQ236', 'Statistical Mechanics', 3, 'solanofernando@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FMW236', 'Aerodynamics', 2, 'lunaesteban@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FMX184', 'Climate Change', 1, 'trejobenjamin@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FNX154', 'Ecology', 3, 'chavezernesto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FOB186', 'Syntax', 2, 'deadriana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FQQ216', 'Microbiology', 5, 'palaciosgustavo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FRC237', 'Machine Design', 2, 'ibarrarancamilo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FRH117', 'Marketing Strategies', 2, 'vargasraquel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FRL105', 'Climate Change', 2, 'marquezeduardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FSF173', 'Computer Vision', 1, 'medinalucia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FVH133', 'Logic', 5, 'corderosebastian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FWY245', 'Relativity', 6, 'salmeronlorena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FXK123', 'Blockchain Technology', 6, 'ramoscristian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FXU250', 'Comparative Politics', 2, 'solisguillermo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('FYH108', 'Financial Accounting', 6, 'penajulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GAQ151', 'Cognitive Psychology', 6, 'valdesjosue@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GCP234', 'Modern History', 6, 'moraemiliano@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GDT150', 'Philosophy of Science', 1, 'laravicente@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GEF149', 'Engineering Materials', 3, 'riveraflorencia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GEX221', 'Automotive Engineering', 1, 'gonzalezana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GLK232', 'Forensic Psychology', 4, 'sandovalcarla@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GLU137', 'Psychopathology', 5, 'pradojimena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GPZ142', 'Cognitive Psychology', 1, 'pimentelregina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GRP205', 'Existentialism', 2, 'cuestaariadna@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GUA170', 'Molecular Biology', 1, 'delgadillojavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GYB130', 'Modern History', 2, 'merinojulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('GYG143', 'Zoology', 5, 'navarroalejandra@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HAJ222', 'Electrochemistry', 3, 'bermudezcecilia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HEY105', 'Psycholinguistics', 5, 'cardozohector@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HFC183', 'Water Resource Management', 6, 'vazquezmarcos@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HFF137', 'Computational Linguistics', 6, 'arevaloesteban@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HFT118', 'Medieval History', 1, 'parramanuel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HHG199', 'Legislative Processes', 6, 'fuentescarla@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HJX186', 'Philosophy of Science', 5, 'pimentelregina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HKV137', 'Immunology', 6, 'valencianancy@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HLK127', 'Blockchain Technology', 6, 'ibanezroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HLU217', 'International Trade', 1, 'herreradiana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HMB203', 'Public Policy', 1, 'salinasveronica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HTM152', 'Electromagnetic Fields', 1, 'suarezariadna@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HWH117', 'Calculus', 1, 'bermudezignacio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HWY106', 'Computational Linguistics', 1, 'mirandarocio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('HYJ241', 'Psychopathology', 2, 'valenciasimon@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IAJ155', 'Comparative Politics', 5, 'montalvohernan@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IAX113', 'Diplomacy and Foreign Policy', 5, 'monterojulieta@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IBK177', 'Number Theory', 4, 'solanofernando@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ICI231', 'Ethics', 6, 'carrilloeduardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ICO206', 'Modern History', 6, 'leonteresa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IDH171', 'Political Economy', 5, 'molinapatricia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IFE245', 'Software Engineering', 2, 'navarrolucia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IKB150', 'Business Analytics', 5, 'mejiaemmanuel@university.edu.es')
