INSERT ALL
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0004', 'Luciana Miranda', 'Filipinas', TO_DATE('2003-04-11', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0009', 'Mónica Campos', 'Letonia', TO_DATE('1992-02-11', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0018', 'Clara Echeverría', 'Paraguay', TO_DATE('1988-02-21', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0021', 'Amalia Bustillos', 'Nigeria', TO_DATE('1975-11-06', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0024', 'Gabriela Vargas', 'Marruecos', TO_DATE('1971-07-09', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0026', 'Marcos Parra', 'Kazajistán', TO_DATE('1955-11-12', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0027', 'Fabiola Gutiérrez', 'Lituania', TO_DATE('1990-06-02', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0031', 'Luisa Zambrano', 'Vaticano', TO_DATE('2011-11-06', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0041', 'Mauricio Espinosa', 'Pakistán', TO_DATE('2020-12-26', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0044', 'Valentina Ortega', 'Finlandia', TO_DATE('2001-10-07', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0047', 'Julio Godínez', 'Ecuador', TO_DATE('2008-02-07', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0048', 'Joaquín Tapia', 'Emiratos Árabes Unidos', TO_DATE('1973-09-28', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0050', 'Pedro Jiménez', 'México', TO_DATE('1968-08-22', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0051', 'Guillermo Correa', 'Islandia', TO_DATE('2004-09-10', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0056', 'Eduardo Santamaría', 'Tailandia', TO_DATE('1977-04-05', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0060', 'Martín Núñez', 'Japón', TO_DATE('1950-03-29', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0064', 'Hugo Camargo', 'Marruecos', TO_DATE('2002-11-30', 'YYYY-MM-DD'))
    INTO PASAJEROS (PASAPORTE, NOMBRE_COMPLETO, NACIONALIDAD, FECHA_NACIMIENTO) VALUES ('P0065', 'Paola Noriega', 'Bolivia', TO_DATE('1984-02-16', 'YYYY-MM-DD'))
